short,stem,long,stem_count,long_count
bac,{'breast arteri calcif'},{'breast arterial calcification'},1,1
bada,{'base of aircraft data'},{'base of aircraft data'},1,1
bagging,{'bootstrap aggreg'},{'bootstrap aggregating'},1,1
ban,{'bodi area network'},{'body area network'},1,1
bbnns,{'block base neural network'},{'block-based neural networks'},1,1
bbo,{'biogeographi base optim'},{'biogeography-based optimization'},1,1
bbs,{'behavior base safeti'},{'behavior-based safety'},1,1
bc,{'breast cancer'},{'breast cancer'},1,1
bci,"{'brain comput interfac', 'onlin brain comput interfac', 'open sourc brain comput interfac', 'braincomput interfac', 'brain–comput interfac'}","{'open source brain-computer interface', 'brain computer interface', 'brain-computer interfaces', 'braincomputer interface', 'online brain computer interfacing', 'brain–computer interface', 'brain-computer interface'}",7,7
bcis,{'brain comput interfac'},{'brain-computer interfaces'},1,1
bcl,{'biochemicallibrari'},{'biochemicallibrary'},1,1
bcm,"{'boundari conduct mode', 'bayesian cognit model'}","{'boundary conduction mode', 'bayesian cognitive model'}",2,2
bcnn,{'binari weight convolut neural network'},{'binary weight convolutional neural network'},1,1
bcrp,{'breast cancer resist protein'},{'breast cancer resistant protein'},1,1
bda,{'big data analyt'},{'big data analytics'},1,1
bdd,{'binari decis diagram'},{'binary decision diagram'},1,1
bds,{'bispectra diagon slice'},{'bispectra diagonal slice'},1,1
ber,{'bit error rate'},{'bit-error-rate'},1,1
bera,{'bioelectr recognit assay'},{'bioelectric recognition assay'},1,1
bess,{'batteri energi storag system'},{'battery energy storage system'},1,1
beyond-cmos,{'beyond complementari metal oxid semiconductor'},{'beyond complementary metal-oxide-semiconductor'},1,1
bfs,{'belief function'},{'belief functions'},1,1
bgp,{'border gateway protocol'},{'border gateway protocol'},1,1
bgs,{'background subtract'},{'background subtraction'},1,1
bhp,{'burst header packet'},{'burst header packet'},1,1
bi,{'busi intellig'},{'business intelligence'},1,1
bi-rads,{'breast imag report and data system'},{'breast imaging reporting and data system'},1,1
bim,"{'busi inform model', 'build inform model'}","{'building information model', 'building information modelling', 'business information modelling', 'building information modeling'}",4,4
bioinformatics,{'genom or protein'},{'genome or protein'},1,1
biology,{'evolut'},{'evolution'},1,1
biometrics,{'access control'},{'access control'},1,1
biorthogonal,"{'bio3.7 , bio4.2 & bio4.7'}","{'bio3.7, bio4.2 & bio4.7'}",1,1
biqa,"{'univers blind iqa', 'blind imag qualiti assess'}","{'blind image quality assessment', 'universal blind iqa'}",2,2
bist,{'built in self test'},{'built-in-self-test'},1,1
bist 100,{'borsa istanbul'},{'borsa istanbul'},1,1
blas,{'basic linear algebra subprogram'},{'basic linear algebra subprograms'},1,1
blde,{'balanc local discrimin embed'},{'balanced local discriminant embedding'},1,1
ble,{'bluetooth low energi'},{'bluetooth low energy'},1,1
blstm,{'bidirect long short term memori neural network'},{'bidirectional long short-term memory neural networks'},1,1
bmd,{'bone miner densiti'},{'bone mineral density'},1,1
bmi,"{'brainmachin interfac', 'bodi mass index', 'brain machin interfac'}","{'brainmachine interface', 'body mass index', 'brain-machine interface'}",3,3
bms,{'batteri manag system'},{'battery management systems'},1,1
bmss,{'batteri manag system'},{'battery management systems'},1,1
bn,{'bayesian network'},{'bayesian network'},1,1
bnn,{'binar neural network'},{'binarized neural network'},1,1
bns,{'bayesian network'},{'bayesian networks'},1,1
bo,{'bayesian optim'},{'bayesian optimization'},1,1
boa,{'basin of attract'},{'basin of attraction'},1,1
bocf,{'bag of convolut featur'},{'bag of convolutional features'},1,1
bof,{'bag of featur'},"{'bag-of-features', 'bag of features'}",2,2
botda,{'brillouin optic time domain'},{'brillouin optical time domain'},1,1
bovw,{'bag of visual word'},"{'bag of visual words', 'bag-of-visual-words'}",2,2
bovws,{'bag of visual word'},{'bag-of-visual-words'},1,1
bow,{'bag of word'},"{'bag of words', 'bag-of-words'}",2,2
bp,"{'back propag', 'blood pressur', 'backpropag', 'belief propag'}","{'back propagation', 'backpropagation', 'blood pressure', 'belief propagation', 'back-propagation'}",5,5
bp-ann,{'back propag artifici neural network'},{'back propagation-artificial neural network'},1,1
bpa,{'batch prune algorithm'},{'batch pruning algorithm'},1,1
bpann,{'backpropag artifici neural network'},{'backpropagation artificial neural network'},1,1
bpm,{'border pair method'},{'border pairs method'},1,1
bpn,{'back propag network'},{'back propagation network'},1,1
brdf,{'bidirect reflect distribut function'},{'bidirectional reflectance distribution function'},1,1
bsm,{'binari similar measur'},{'binary similarity measures'},1,1
bsn,{'bodi sensor network'},{'body sensor networks'},1,1
bsns,"{'bodi sensor network', 'wireless bodi sensor network'}","{'wireless body sensor networks', 'body sensor networks'}",2,2
bsoc,{'batteri state of charg'},{'battery state-of-charge'},1,1
bsp,{'behavior signal process'},{'behavioral signal processing'},1,1
bss,"{'blind sourc separ', 'underdetermin convolut blind sourc separ'}","{'blind source separation', 'underdetermined convolutive blind source separation'}",2,2
bsts,{'bayesian structur time seri'},{'bayesian structural time series'},1,1
bti,{'bias temperatur instabl'},{'bias temperature instability'},1,1
bts,{'binari tree of support vector machin'},{'binary tree of support vector machine'},1,1
bvm,{'ball vector machin'},{'ball vector machines'},1,1
c-nmf,{'collect nmf'},{'collective nmf'},1,1
c-s,{'center surround'},{'center-surround'},1,1
c.t.r,{'click through rate'},{'click through rate'},1,1
c2f,{'custom to factori'},{'customer-to-factory'},1,1
c4.5,{'decis tree'},{'decision tree'},1,1
ca,{'cellular automata'},{'cellular automata'},1,1
caad,{'comput aid ad diagnosi'},{'computer aided ad diagnosis'},1,1
cabg,{'coronari arteri bypass surgeri'},{'coronary artery bypass surgery'},1,1
cac,"{'dynam connect admiss control', 'connect admiss control'}","{'connection admission control', 'dynamic connection-admission control'}",2,2
cacd,{'comput aid cardiac diagnosi'},{'computer aided cardiac diagnosis'},1,1
cad,"{'comput aid design', 'intellig comput aid diagnosi', 'comput aid detect', 'comput aid diagnost', 'comput aid diagnosi', 'comput r aid diagnosi'}","{'computer aided diagnosis', 'computer-aided diagnosis', 'computer aided diagnostics', 'computer aided detection', 'computer aide diagnosis', 'computer-aided design', 'intelligent computer-aided diagnosis', 'computer aided diagnostic', 'compute r-aided diagnosis', 'computer-aided detection'}",10,10
cad tools,{'eda tool'},{'eda tools'},1,1
cade,{'comput aid detect'},"{'computer-aided detection', 'computer aided detection'}",2,2
cadx,{'comput aid diagnosi'},{'computer-aided diagnosis'},1,1
cae,{'coupl autoencod'},{'coupling autoencoder'},1,1
cai,{'comput assist intervent'},{'computer-assisted interventions'},1,1
call,{'comput aid languag learn'},{'computer aided language learning'},1,1
candecomp,{'canon decomposit'},{'canonical decomposition'},1,1
capd,{'central auditori process disord'},{'central auditory processing disorder'},1,1
capp,{'comput aid process plan'},{'computer aided process planning'},1,1
captcha,{'complet autom public ture test to tell comput and human apart'},"{'completely automated public turing test to tell computers and human apart', 'completely automated public turing test to tell computers and humans apart'}",2,2
cart,{'classif and regress tree'},"{'classification and regression tree', 'classification and regression trees'}",2,2
casa,{'comput auditori scene analysi'},{'computational auditory scene analysis'},1,1
casp,{'critic assess of structur predict'},{'critical assessment of structure prediction'},1,1
cbir,"{'contentbas imag retriev', 'content base imag retriev', 'biomed imag retriev'}","{'content based image retrieval', 'content-based image retrieval', 'contentbased image retrieval', 'biomedical image retrieval'}",4,4
cbm,{'condit base mainten'},{'condition based maintenance'},1,1
cbmir,{'content base medic imag retriev'},{'content based medical image retrieval'},1,1
cbn,{'cubic boron nitrid'},{'cubic boron nitride'},1,1
cbpn,{'circular back propag neural network'},{'circular back propagation neural network'},1,1
cbr,{'case base reason'},"{'case based reasoning', 'case-based reasoning'}",2,2
cbram,{'conduct bridg ram'},{'conductive bridge ram'},1,1
cc,"{'connect compon', 'cloud comput', 'chief compliant', 'cognit comput', 'cooper coevolut'}","{'chief compliant', 'connected component', 'cognitive computing', 'cooperative coevolution', 'cloud computing'}",5,5
cca,{'canon correl analysi'},{'canonical correlation analysis'},1,1
ccc,{'common control channel'},{'common control channel'},1,1
cccp,{'concav convex procedur'},{'concave-convex procedure'},1,1
ccert,{'capacit coupl electr resist tomographi'},{'capacitively coupled electrical resistance tomography'},1,1
ccn,{'convolut neural network'},{'convolutional neural networks'},1,1
cctv,{'close circuit televis'},{'closed circuit television'},1,1
ccv,{'color coher vector'},{'color coherence vector'},1,1
cd,"{'coordin descent', 'celiac diseas', 'critic dimens', 'critic dimension'}","{'celiac disease', 'critical dimensions', 'critical dimensional', 'coordinate descent'}",4,4
cd-afm,{'critic dimens atom forc microscopi'},{'critical dimension atomic force microscopy'},1,1
cd-hmms,{'continu densiti hidden markov model'},{'continuous density hidden markov models'},1,1
cd-mmf,{'context depend mmf'},{'context-dependent mmf'},1,1
cd-sem,{'critic dimens scan electron microscopi'},{'critical dimension scanning electron microscopy'},1,1
cdma,{'code divis multipl access'},{'code division multiple access'},1,1
cdna,{'complementari deoxyribonucl acid'},{'complementary deoxyribonucleic acid'},1,1
cdp,{'citi carbon disclosur project'},{'city carbon disclosure project'},1,1
cdq,{'coke dri quench'},{'coke dry quenching'},1,1
cdr,"{'call detail record', 'clinic dementia rate scale'}","{'call detail record', 'clinical dementia rating scale'}",2,2
cdss,{'clinic decis support system'},"{'clinical decision support systems', 'clinical decision support system'}",2,2
cdts,{'chang detect test'},{'change-detection tests'},1,1
cdu,{'cd uniform'},{'cd uniformity'},1,1
cdw,{'construct and demolit wast'},{'construction and demolition waste'},1,1
ce,{'cross entropi'},{'cross-entropy'},1,1
ceos,{'committe on earth observ satellit'},{'committee on earth observing satellites'},1,1
cep,{'complex event process'},{'complex event processing'},1,1
cf,{'collabor filter'},{'collaborative filtering'},1,1
cf-mmf,{'context free mmf'},{'context-free mmf'},1,1
cfbc fly ash,{'circul fluidiz bed combust fli ash'},{'circulated fluidized bed combustion fly ash'},1,1
cfd,{'comput fluid dynam'},{'computational fluid dynamics'},1,1
cfss,{'complex fuzzi set'},{'complex fuzzy sets'},1,1
cga,{'constrain genet algorithm'},{'constrained genetic algorithms'},1,1
cgans,{'condit generat adversari network'},{'conditional generative adversarial networks'},1,1
cgm,"{'continu glucos monitor', 'consum generat media'}","{'consumer generated media', 'continuous glucose monitoring'}",2,2
cgra,{'coars grain reconfigur architectur'},{'coarse-grained reconfigurable architecture'},1,1
chd,{'coronari heart diseas'},{'coronary heart disease'},1,1
chf,{'congest heart failur'},{'congestive heart failure'},1,1
chisel,{'construct hardwar in scala embed languag'},{'constructing hardware in scala embedded language'},1,1
chm,{'condit and health manag'},{'condition and health management'},1,1
chmm,{'coupl hidden markov mode'},{'coupled hidden markov mode'},1,1
cho,{'channel hotel observ'},{'channelized hotelling observer'},1,1
chog,{'cell base histogram of orient gradient'},{'cell-based histograms of oriented gradients'},1,1
chp,{'combin heat and power'},{'combined heat and power'},1,1
ci,"{'comput intellig', 'camera identif'}","{'camera identification', 'computational intelligence'}",2,2
ciot,{'cognit internet of thing'},{'cognitive internet of things'},1,1
cip,{'cluster impur'},{'cluster impurity'},1,1
cir,{'channel impuls respons'},{'channel impulse response'},1,1
ckb,{'collabor knowledg build'},{'collaborative knowledge building'},1,1
ckd,{'chronic kidney diseas'},{'chronic kidney disease'},1,1
cks,{'contextu knowledg structur'},{'contextual knowledge structures'},1,1
cl,{'chow liu'},{'chow-liu'},1,1
clbp,{'complet local binari pattern'},{'completed local binary pattern'},1,1
clir,{'cross languag inform retriev'},{'cross-language information retrieval'},1,1
cll,{'chronic lymphocyt leukemia'},{'chronic lymphocytic leukemia'},1,1
clm,"{'codebookless model', 'cross loop/monopol'}","{'crossed-loop/monopole', 'codebookless model'}",2,2
clp,{'constraint logic program'},{'constraint logic programming'},1,1
cm,"{'cultur model', 'condit monitor'}","{'cultural modeling', 'condition monitoring'}",2,2
cmac,{'cerebellar model articul control'},{'cerebellar model articulation controller'},1,1
cmh,{'cross modal hash'},{'cross-modal hashing'},1,1
cmos,{'complementari metal oxid semiconductor'},{'complementary metal-oxide semiconductor'},1,1
cmp,"{'chip multiprocessor', 'chemic mechan polish'}","{'chemical mechanical polishing', 'chip-multiprocessor'}",2,2
cnets,{'convolut network'},{'convolutional networks'},1,1
cnfs,{'complex neuro fuzzi system'},{'complex neuro-fuzzy system'},1,1
cnn,"{'deep learn : convolut neural network', 'deep convolut neural network', 'convolut neural network', 'pretrain convolut neural network', 'convolut neutral network', 'self adapt momentum ( sm ) convolut neural network', 'convolutionnel neural network'}","{'deep learning: convolutional neural network', 'deep convolutional neural networks', 'pretrained convolutional neural network', 'deep convolutional neural network', 'convolutionnel neural network', 'convolutional neural network', 'convolutional neural networks', 'convolution neural network', 'convolutional neutral network', 'self-adaptive momentum (sm) convolutional neural network'}",10,10
cnn-lstm,{'convolut neural network long short term memori'},{'convolutional neural network-long short-term memory'},1,1
cnns,"{'deep convolut neural network', 'convolut neural network'}","{'convolutional neural networks', 'deep convolutional neural networks'}",2,2
cns,{'central nervous system'},{'central nervous system'},1,1
cnts,{'carbon nanotub'},{'carbon nanotubes'},1,1
coalbp,{'cooccurr of adjac local binari pattern'},{'cooccurrence of adjacent local binary patterns'},1,1
coap,{'constrain applic protocol'},{'constrained application protocol'},1,1
cod,{'chemic oxygen demand'},{'chemical oxygen demand'},1,1
comid,{'composit object mirror descent'},{'composite objective mirror descent'},1,1
computer,{'neural network'},"{'neural network', 'neural networks'}",2,2
conv-lstm,{'convolut long short term memori network'},{'convolutional long short-term memory network'},1,1
convnet,"{'deep convolut network', 'convolut neural network'}","{'deep convolutional network', 'convolutional neural network'}",2,2
convnets,"{'convolut network', 'deep convolut network'}","{'deep convolutional networks', 'convolutional networks'}",2,2
convrnns,{'convolut recurr neural network'},{'convolutional recurrent neural networks'},1,1
coo,{'constrain ordin optim'},{'constrained ordinal optimization'},1,1
copd,"{'chronic obstruct pulmonari diseas', 'collect of part detector'}","{'collection of part detectors', 'chronic obstructive pulmonary disease'}",2,2
cosen,{'cost sensit'},{'cost-sensitive'},1,1
cp,"{'constraint program', 'candecomp/parafac', 'cuff pressur'}","{'constraint programing', 'cuff pressure', 'candecomp/parafac'}",3,3
cpd,{'canon polyad decomposit'},{'canonical polyadic decomposition'},1,1
cpds,{'custom power devic'},{'custom power devices'},1,1
cpr,{'cardiopulmonari resuscit'},{'cardiopulmonary resuscitation'},1,1
cps,"{'cyber physic system', 'collabor problem solv', 'condit paramet'}","{'collaborative problem solving', 'condition parameters', 'cyber-physical systems', 'cyber physical systems', 'cyber-physical system'}",5,5
cpso,{'cluster base particl swarm optim'},{'clustering-based particle swarm optimization'},1,1
cpss,"{'cyber physic system', 'cyber physic social system'}","{'cyber-physical-social systems', 'cyber-physical systems', 'cyber physical social system'}",3,3
cq,{'cluster qualiti'},{'clustering quality'},1,1
cqa,{'communiti question answer'},{'community question answering'},1,1
cr,{'cumul risk'},{'cumulative risk'},1,1
cra,{'cognit radio architectur'},{'cognitive radio architecture'},1,1
crf,"{'3 d condit random field', 'condit random field'}","{'conditional random fields', '3-d conditional random field', 'conditional random field'}",3,3
crfs,"{'condit random field', 'continu condit random field'}","{'conditional random fields', 'condition random fields', 'conditional random field', 'continuous conditional random field'}",4,4
crm,{'custom relationship manag'},{'customer relationship management'},1,1
crn,{'cognit radio network'},{'cognitive radio network'},1,1
crns,{'cognit radio network'},{'cognitive radio networks'},1,1
crrt,{'continu renal replac therapi'},{'continuous renal replacement therapy'},1,1
crs,{'complementari resist switch'},"{'complementary resistive switch', 'complementary resistive switching'}",2,2
crt,{'circular radon transform'},{'circular radon transform'},1,1
crvfl,{'convolut random vector function link'},{'convolutional random vector functional link'},1,1
cs,"{'compon substitut', 'compress sens'}","{'compressive sensing', 'component substitution', 'compressed sensing'}",3,3
cs-2,{'cryosat 2'},{'cryosat-2'},1,1
csd,{'cognit spectrum decis'},{'cognitive spectrum decision'},1,1
csf,{'contrast sensit function'},{'contrast sensitivity function'},1,1
csi,"{'channel state inform', 'camera sourc identif'}","{'camera source identification', 'channel state information', 'channel-state information'}",3,3
csm,{'cervic spondylot myelopathi'},{'cervical spondylotic myelopathy'},1,1
cso,{'cuckoo search optim'},{'cuckoo search optimization'},1,1
csp,{'common spatial pattern'},"{'common spatial pattern', 'common spatial patterns'}",2,2
css,{'coordin and sink station'},{'coordinator and sink station'},1,1
cst,{'cross document structur theori'},{'cross-document structure theory'},1,1
ct,"{'comput tomographi', 'helic comput tomographi', 'current transform', 'x ray comput tomographi', 'pediatr abdomin comput tomographi'}","{'helical computed tomography', 'current transformer', 'computed tomography', 'pediatric abdominal computed tomography', 'x-ray computed tomography', 'computer tomography'}",6,6
cta,{'comput tomographi angiographi'},{'computed tomography angiography'},1,1
ctc,{'connectionist tempor classif'},{'connectionist temporal classification'},1,1
ctg,{'cardiotocogram'},{'cardiotocogram'},1,1
cti,{'cyber threat intellig'},{'cyber threat intelligence'},1,1
ctmc,{'continu time markov chain'},{'continuous time markov chain'},1,1
ctq,{'critic to qualiti'},{'critical to quality'},1,1
cu,{'code unit'},{'coding unit'},1,1
cv,"{'comparison variat', 'comput vision', 'cross valid'}","{'computer vision', 'cross validation', 'comparison variation'}",3,3
cv-cnn,{'complex valu convolut neural network'},{'complex-valued convolutional neural network'},1,1
cvd,{'cardiovascular diseas'},"{'cardiovascular disease', 'cardiovascular diseases'}",2,2
cvm,{'core vector machin'},{'core vector machines'},1,1
cw,{'current waveform'},{'current waveform'},1,1
cwd,{'choi william distribut'},{'choi-williams distribution'},1,1
cwpcc,{'coiflet wavelet packet cepstral coeffici'},{'coiflet wavelet packets cepstral coefficients'},1,1
cwt,{'continu wavelet transform'},{'continuous wavelet transform'},1,1
cww,{'comput with word'},{'computing with words'},1,1
cxx,{'convolut neural xetwor'},{'convolution neural xetworli'},1,1
d-cnn,{'deep convolut neural network'},{'deep convolutional neural networks'},1,1
d-cnns,{'discrimin cnns'},{'discriminative cnns'},1,1
d2a,{'dual detector architectur'},{'dual-detector architecture'},1,1
d2its,{'data driven intellig transport system'},{'data-driven intelligent transportation systems'},1,1
da,"{'deep autoencod', 'denois autoencod', 'discrimin analysi'}","{'denoising autoencoder', 'deep autoencoder', 'discriminant analysis'}",3,3
dae,"{'deep auto encod', 'denois autoencod', 'denois auto encod'}","{'deep auto-encoder', 'denoising auto-encoding', 'denoising autoencoder'}",3,3
dan2,{'dynam artifici neural network'},{'dynamic artificial neural networks'},1,1
dash,{'dynam adapt stream over http'},{'dynamic adaptive streaming over http'},1,1
